chi_over_kappa	current	noise	qfi_rate	noise_over_current_squared	inverse_qfi_rate
0.1490297761552311	0.04875073952615965	0.1231216282085204	0.04441974836175655	51.80503051806947	22.51250934282545
0.1491297961392278	0.04882259049398071	0.1233436462604605	0.04447939219305531	51.74580465434268	22.4823216032195
0.1492298161232246	0.04889450850484811	0.1235659991005137	0.04453907604034287	51.68670122103361	22.45219454247803
0.1493298361072214	0.04896649360407963	0.1237886872617641	0.04459879990361924	51.62771989383836	22.42212799808654
0.1494298560912183	0.04903854583705219	0.1240117112783342	0.04465856378288439	51.56886034954132	22.39212180807424
0.149529876075215	0.04911066524920189	0.1242350716853876	0.04471836767813833	51.51012226601097	22.36217581101187
0.1496298960592118	0.04918285188602424	0.1244587690191312	0.04477821158938108	51.45150532219539	22.3322898460095
0.1497299160432086	0.04925510579307405	0.124682803816817	0.04483809551661262	51.39300919811801	22.30246375271442
0.1498299360272054	0.04932742701596556	0.1249071766167446	0.04489801945983294	51.33463357487339	22.27269737130897
0.1499299560112022	0.04939981560037265	0.1251318879582634	0.04495798341904208	51.27637813462267	22.24299054250834
0.150029975995199	0.04947227159202874	0.1253569383817749	0.04501798739424	51.21824256058962	22.21334310755858
0.1501299959791959	0.04954479503672694	0.1255823284287349	0.04507803138542672	51.16022653705623	22.1837549082343
0.1502300159631926	0.04961738598032018	0.1258080586416556	0.04513811539260223	51.10232974935857	22.15422578683673
0.1503300359471894	0.04969004446872124	0.1260341295641084	0.04519823941576654	51.04455188388248	22.12475558619147
0.1504300559311862	0.0497627705479028	0.1262605417407252	0.04525840345491965	50.98689262805946	22.0953441496465
0.150530075915183	0.04983556426389758	0.1264872957172015	0.04531860751006153	50.92935167036256	22.0659913210701
0.1506300958991798	0.04990842566279841	0.1267143920402987	0.04537885158119222	50.87192870030212	22.03669694484867
0.1507301158831766	0.04998135479075829	0.1269418312578456	0.04543913566831172	50.81462340842173	22.00746086588479
0.1508301358671734	0.05005435169399046	0.1271696139187415	0.04549945977142	50.75743548629408	21.97828292959512
0.1509301558511702	0.05012741641876848	0.127397740572958	0.04555982389051707	50.70036462651694	21.94916298190833
0.151030175835167	0.0502005490114264	0.1276262117715416	0.04562022802560294	50.64341052270903	21.9201008692631
0.1511301958191638	0.05027374951835871	0.1278550280666157	0.04568067217667762	50.58657286950594	21.8910964386061
0.1512302158031606	0.05034701798602048	0.1280841900113832	0.04574115634374107	50.52985136255624	21.86214953738995
0.1513302357871574	0.05042035446092749	0.1283136981601286	0.04580168052679333	50.47324569851725	21.83326001357121
0.1514302557711542	0.05049375898965621	0.1285435530682205	0.04586224472583438	50.41675557505138	21.80442771560844
0.151530275755151	0.05056723161884395	0.1287737552921138	0.04592284894086422	50.36038069082176	21.77565249246013
0.1516302957391478	0.05064077239518896	0.129004305389352	0.04598349317188286	50.30412074548858	21.74693419358278
0.1517303157231446	0.05071438136545044	0.1292352039185697	0.0460441774188903	50.24797543970507	21.71827266892893
0.1518303357071414	0.05078805857644866	0.1294664514394947	0.04610490168188654	50.19194447511351	21.68966776894516
0.1519303556911382	0.05086180407506505	0.1296980485129506	0.04616566596087155	50.13602755434142	21.66111934457019
0.152030375675135	0.05093561790824232	0.1299299957008591	0.04622647025584538	50.0802243809976	21.63262724723286
0.1521303956591318	0.05100950012298442	0.1301622935662421	0.046287314566808	50.02453465966836	21.60419132885031
0.1522304156431286	0.05108345076635673	0.1303949426732244	0.04634819889375939	49.96895809591365	21.57581144182598
0.1523304356271254	0.05115746988548615	0.1306279435870359	0.0464091232366996	49.91349439626312	21.54748743904767
